scenario_id,prompt_profile,repeat_index,variant_index,request_count,max_new_tokens,prompt_index,prompt_format,prompt_tokens,suffix_after_common_tokens,formatted_prompt_duplicate_group_size,formatted_prompt_duplicate_ordinal,formatted_prompt_sha256_16,token_ids_head,token_ids_tail,prompt_preview,formatted_prompt_preview
shared_prefix_mega_long_no_repeat_variant_out8_n32_rep00,shared_prefix_mega_long_no_repeat_variant,0,3201,32,8,0,chat_template,3590,20,1,0,16d1328555ffe10d,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[9252, 47430, 4344, 855, 7559, 2783, 369, 419, 8160, 7162, 13, 151645, 198, 151644, 77091, 198]","Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reu","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook"
shared_prefix_mega_long_no_repeat_variant_out8_n32_rep00,shared_prefix_mega_long_no_repeat_variant,0,3201,32,8,1,chat_template,3590,20,1,0,77333d1121e27bce,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[2118, 5546, 1265, 3271, 421, 4734, 84648, 25978, 374, 7373, 13, 151645, 198, 151644, 77091, 198]","Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reu","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook"
shared_prefix_mega_long_no_repeat_variant_out8_n32_rep00,shared_prefix_mega_long_no_repeat_variant,0,3201,32,8,2,chat_template,3589,19,1,0,2ba8e4f60b843829,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[825, 7901, 3856, 421, 6500, 10010, 12289, 1212, 419, 53596, 13, 151645, 198, 151644, 77091, 198]","Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reu","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook"
shared_prefix_mega_long_no_repeat_variant_out8_n32_rep00,shared_prefix_mega_long_no_repeat_variant,0,3201,32,8,3,chat_template,3591,21,1,0,0dc2c2ffe85e9512,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[2456, 518, 1378, 11, 3040, 11, 323, 8063, 34035, 7388, 13, 151645, 198, 151644, 77091, 198]","Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reu","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook"
shared_prefix_mega_long_no_repeat_variant_out8_n32_rep00,shared_prefix_mega_long_no_repeat_variant,0,3201,32,8,4,chat_template,3590,20,1,0,e37bc949740f1d74,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[16895, 646, 40736, 1283, 11504, 855, 7559, 975, 374, 30790, 13, 151645, 198, 151644, 77091, 198]","Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reu","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook"
shared_prefix_mega_long_no_repeat_variant_out8_n32_rep00,shared_prefix_mega_long_no_repeat_variant,0,3201,32,8,5,chat_template,3591,21,1,0,55439f972fc2f10e,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[18266, 429, 1265, 537, 387, 916, 21275, 504, 419, 1598, 13, 151645, 198, 151644, 77091, 198]","Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reu","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook"
shared_prefix_mega_long_no_repeat_variant_out8_n32_rep00,shared_prefix_mega_long_no_repeat_variant,0,3201,32,8,6,chat_template,3588,18,1,0,23798b47aa0c7343,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[62079, 1246, 264, 18054, 4911, 67181, 2524, 35136, 279, 16688, 13, 151645, 198, 151644, 77091, 198]","Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reu","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook"
shared_prefix_mega_long_no_repeat_variant_out8_n32_rep00,shared_prefix_mega_long_no_repeat_variant,0,3201,32,8,7,chat_template,3588,18,1,0,bdf915c7f617cd96,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[6934, 279, 1790, 28431, 22990, 311, 9593, 419, 6500, 8286, 13, 151645, 198, 151644, 77091, 198]","Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reu","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook"
shared_prefix_mega_long_no_repeat_variant_out8_n32_rep00,shared_prefix_mega_long_no_repeat_variant,0,3201,32,8,8,chat_template,3595,25,1,0,beeb0eed59c28073,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[264, 9252, 36680, 18405, 3164, 13, 58663, 1509, 220, 24, 13, 151645, 198, 151644, 77091, 198]","Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reu","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook"
shared_prefix_mega_long_no_repeat_variant_out8_n32_rep00,shared_prefix_mega_long_no_repeat_variant,0,3201,32,8,9,chat_template,3597,27,1,0,dcb060493f433a58,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[1091, 264, 4911, 9252, 13, 58663, 1509, 220, 16, 15, 13, 151645, 198, 151644, 77091, 198]","Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reu","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Payments Relay shared incident packet. Every request in this batch begins with the same payment authorization gateway runbook"
